accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF001NZO	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0	2.0	0.0	60.3	29.34	10.36	39.7	60.3	29.34	10.36	39.7									3.71804506203117	0.32871793256445003	1.68757621711133	0.5201888159404571	1.79714886129948	11.5873633716875	26.2199237716389	1.80434870650281	52.3366872612239	1.42932573233787	1.57184439736083	1.71514613197184	2.00141399994183	3.48857501471052	5.229226841835598	2.25949136274244	1.95297555256746	1.73919755503301	1.43357668153007	1
ENCFF001NTB	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	56.87	34.27	8.87	43.13	56.87	34.27	8.87	43.13									27.031634945469698	1.13577929546379	1.15836550406168	0.9922581932568109	1.28456320355766	11.701410322335901	18.150978936715898	1.1700971755178702	37.3749124236208	1.07615243583028	1.14108608346429	1.3483280949886498	1.82894621966125	18.7304653396193	16.9953727955299	2.35310808451196	1.6562991094814	1.376702462022	1.17688143879867	1
ENCFF001NQV	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	69.36	23.82	6.82	30.64	69.36	23.82	6.82	30.64									5.295599630625929	0.390552856626651	1.78273176215522	0.518830047777733	1.7988918777853602	11.361565021881402	26.733749548319803	2.14036214718754	49.9777171076404	1.7217	1.8597	2.1306	2.3504	4.7305	4.5354	2.2655	2.0104	1.7666	1.5386	1
ENCFF001LLK	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	67.28	10.78	21.94	32.72	67.28	10.78	21.94	32.72									1.13109021387031	0.15405867635214998	0.47662884845590503	0.22778900140443697	0.674150713581775	5.5805687079703095	12.0714555769555	1.4012950982948797	78.2829631631147	0.7333	1.4076	1.4508	1.6324	4.8895	23.5835	4.0939	2.478	2.1029	0.9783	1
ENCFF001MZP	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	66.8	26.52	6.68	33.2	66.8	26.52	6.68	33.2									15.005072230366599	1.96708217815921	1.2199441502785	2.3558026616416003	1.63314780308709	20.3549457507152	17.579918984791302	1.0540807121792701	38.83000552878129	1.0396	1.1504	1.3139	2.229	10.2745	19.7312	4.7682	2.0501	1.463	1.1934	1
ENCFF001NSD	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	58.04	30.62	11.35	41.96	58.04	30.62	11.35	41.96									3.7337743238941403	0.323115085721608	1.29174841163052	0.47801098611632303	1.46118805053898	12.40936860851	25.2254533730794	1.30212226707389	53.77521889343511	1.23881345783503	1.35968070817083	1.48985321962035	1.6930518019840402	3.3037722719401903	4.91651562474714	2.07800640849287	1.80623209748677	1.53506465133591	1.36170359102164	1
ENCFF001NTE	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	66.2	23.78	10.02	33.8	66.2	23.78	10.02	33.8									2.1172746657968	0.226124531591993	1.29774942663437	0.390633652082339	1.5035368454117701	11.348612344426101	25.3237326052244	1.26663968475462	56.52569624407761	1.1595	1.2977	1.4049	1.5495	2.3361	4.5269	1.9365	1.7024	1.4844	1.2819	1
ENCFF001OBG	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	0.0	63.29	25.52	11.2	36.71	63.29	25.52	11.2	36.71									2.9677881969166804	0.26379441810203397	1.41188589780491	0.43962369908045595	1.42077330545919	12.0664737695233	25.014416789120997	1.41562264875046	54.999621275242006	1.2176	1.3684	1.4955	1.7679	3.1752	5.8376	2.2755	1.9107	1.6235	1.3661	1
ENCFF002AHR	ChIP-seq	mouse	y2014	single-ended	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	4.08	72.89	23.04	95.92	4.08	72.89	23.04	95.92									1.48408376837299	0.38511542427902506	3.35990385657134	0.454434194317265	4.57042425896128	10.854155715437901	39.8184670821111	1.5799864371957901	37.4934292627532	1.148	1.2904	1.3267	1.3578	1.6721	4.6971	2.0096	1.9802	2.0309	1.8157	1
ENCFF001LQV	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	75.85	19.06	5.08	24.15	75.85	19.06	5.08	24.15									4.128864597380971	0.454880019119019	1.4622434521878898	0.632614596125788	2.50796542108535	11.951194285984002	25.7126704670403	1.28209891481493	51.867468246261794	1.1839	1.2613	1.3789	1.5368	3.4477	4.9830000000000005	2.1596	1.7439	1.501	1.3236	1
