accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status	peak_type
ENCFF001LIW	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	42.54	49.78	7.68	57.46	42.54	49.78	7.68	57.46									14.561597599661601	1.0876282288963	2.41380315175046	1.00915098880318	3.01047133571076	15.2811565193887	29.1867004691552	1.7256954178737198	31.7237962887601	1.0915	1.2228	1.3314	1.6448	8.8026	10.6948	2.4478	1.9427	1.7894	1.5717	0	narrow
ENCFF001NQG	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	11.13	62.91	25.96	88.87	11.13	62.91	25.96	88.87									3.1179602084282005	0.293983711005348	1.4522875922351202	0.46092374155225	1.59655924204995	11.996006335056801	25.3867729494687	1.4052381086712098	54.2902681115325	1.2026	1.4125	1.4869	1.6956	3.1971	6.3056	2.2517	1.9191	1.6107	1.4098	0	narrow
ENCFF001NVA	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	5.5	67.0	27.49	94.5	5.5	67.0	27.49	94.5									2.0617268524303403	0.204157311975751	1.26162366531905	0.3966254590012621	1.43444192298856	11.2132345531716	25.083335684602105	1.20942549769643	57.13542905281489	1.1381	1.2985	1.3688	1.5085	2.4686	4.8188	1.8434	1.6788	1.3976	1.2692	0	narrow
ENCFF001KHG	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	11.38	72.42	16.2	88.62	11.38	72.42	16.2	88.62									8.51993988971751	1.22780371603613	1.40407902675148	1.41281248462861	1.9043957400802496	17.5886822416678	26.0114498644306	1.28462138452411	40.6462156521634	1.0789	1.2505	1.3436	1.8025	5.9815	10.6484	2.8627	1.8634	1.5877	1.3727	0	narrow
ENCFF001LOK	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	45.18	31.8	23.02	54.82	45.18	31.8	23.02	54.82									3.3213585824837595	0.36567946493707104	1.33162907698375	0.621522264658342	2.72660581204546	9.696585152535027	22.4051470993925	1.72857367639155	57.802898870572605	1.1468	1.5405	1.5687	1.8061	4.3757	13.0881	2.7359	2.0613	1.9206	1.3630000000000002	0	narrow
ENCFF160DPX	ChIP-seq	mouse	y2015	single-ended	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.46	80.91	17.63	98.54	1.46	80.91	17.63	98.54									5.16886004446848	0.421549185746049	1.623299881818	0.5912104641147371	2.01770726919456	11.695911704024198	27.019309736995	1.6862968972217198	49.775854816417294	1.3664	1.5079	1.5957	1.9382	4.4093	4.8048	2.1304	1.7154	1.5699	1.3521	0	narrow
ENCFF368AXL	ChIP-seq	mouse	y2014	single-ended	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.63	84.39	13.98	98.37	1.63	84.39	13.98	98.37									15.3037284875684	2.40518502193817	1.48318073447799	3.0463005629795803	2.80518101496604	25.5668863823052	17.150541942980798	0.9726924849237673	31.266303367860107	0.8889	1.0188	1.2527	2.4176	11.3699	21.2297	8.6806	3.4598	2.0539	1.4499	0	narrow
ENCFF001LIY	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	20.25	55.86	23.89	79.75	20.25	55.86	23.89	79.75									4.032432804599241	0.413206404749899	1.7165126634954802	0.6357566810645962	3.03207032507731	10.7125861395121	24.7955230741503	1.87699591552405	52.784915991827	1.3593	1.6476	1.7678	1.9467	4.4172	8.3452	2.4621	2.0557	1.8630000000000002	1.4946	0	narrow
ENCFF001NNM	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	15.37	59.73	24.9	84.63	15.37	59.73	24.9	84.63									2.6459146323628	0.213121549886883	1.29597671296572	0.368852583027133	1.37585947089776	11.3012921439544	24.619825649829107	1.25321119609301	56.9259460609832	1.1179	1.3041	1.3801	1.5998	2.9985	6.1439	2.103	1.7508	1.4983	1.2672	0	narrow
ENCFF001NGG	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	1.67	75.73	22.6	98.33	1.67	75.73	22.6	98.33									4.47983496772068	0.324098810465971	1.71379674675901	0.4949361443992271	1.86374391875334	11.6391345045215	27.111915025249	1.9747229040539	50.3978169780774	1.5816	1.7148	1.9139	2.0923	4.2164	5.075	2.2662	1.9256	1.7105	1.5225	0	narrow
